Governance,Zoonoses,Food security,Antimicrobial resistance,Climate change
30.63,68.87,63.01,18.15,45.96
18.69,68.64,45.83,42.39,33.53
21.3,47.1,29.66,23.07,45.07
30.35,61.38,64,51.07,47.8
25.54,53.68,52.38,29.35,44.38
19.56,52.54,54.65,33.09,37.15
28.3,54.69,42.07,20.96,40.41
52.63,83.19,74.71,51.13,53.23
23.06,46.89,50.18,22.16,45.08
16.3,44.82,28.55,20.96,34.32
30.99,54.45,50.76,33.07,46.33
12.87,45.22,30.07,23.71,41.66
47.01,69.8,67.2,44.06,49.72
53.04,72.19,72.56,55.21,48.74
43.38,71.17,56.55,45.16,35.68
16.37,52.78,33.04,27.45,43.85
31.49,70.66,63.38,37.66,53.25
38.5,69.87,63.55,48.8,48.5
33.92,60.19,59.82,44.2,38.96
54.22,73.81,65.59,43.41,54.19
32.38,70.86,63.07,50.06,48.85
26.99,40.51,45.78,23.32,45.14
52.55,75.33,71.93,71.06,61.17
26.58,61.38,54.97,23.29,41.1
33.27,62.41,58.51,37.14,44.07
24.27,57.83,38.88,43.8,43.58
44.28,62.38,67.75,49.24,55.27
24.64,58.54,58.42,26.35,45.9
67.24,79.93,70.69,62.96,57.21
64.28,72.18,71.86,72.57,57.3
13.31,47.28,47.48,15.16,43.61
40.78,58.76,51.18,28.39,39.82
69.48,80.07,71.41,63.21,56.15
33.5,51.42,46.02,38.38,45.64
41.21,73.75,67.48,54.68,49.95
24.96,52.39,56.77,37.35,47.26
40.58,64.95,67.44,37.04,38.8
15.44,53.58,39.15,23.06,39.16
24.97,55.58,52,18.31,34.85
38.27,69.75,61.86,46.62,49.55
48.48,57.19,66.89,60.36,47.76
49.65,65.3,56.01,36.23,45.04
70.28,77.15,75.53,60.26,53.69
36.4,72.57,57.38,48.76,32.6
29.69,73.11,55.61,44.29,37.11
13.89,53.3,41.71,37.86,34.01
47.47,73.25,72.09,55.91,59.2
37.62,68.72,64.5,43.36,44.32
42.42,77.81,74.85,53.61,53.72
26.49,58.86,41.39,33.61,40.8
49.63,75.32,73.09,66.3,48.99
22.88,60.97,60.8,39.03,48.04
24.28,46.77,32.97,26.86,39.34
61.77,76.34,72.78,70.55,54.38
30.93,61.18,49.73,44.83,39.29
31.41,59.45,42.01,46.33,48.56
47.14,65.72,67.99,55.31,51.5
16.14,61.82,49.66,34.65,39.59
22.05,58.1,47.72,37.23,37.17
26.79,62.06,51.95,30.03,38.74
18.25,48.35,39.86,22.5,50.56
38.49,71.01,63.59,52.63,49.76
15.83,46.8,30.95,33.37,43.2
12.2,60.43,47.27,19.92,33.38
31.69,72.85,64.51,47.86,54.45
44.02,69.51,69.29,55.15,54.71
23.46,53.63,36.09,29.12,47.68
15.17,50.56,32.72,26.96,42.88
37.69,66.79,58.7,67.63,41.37
20.9,63.46,46.76,31.01,40.57
33.83,57.5,64.85,46.28,47.25
14.86,43.47,42.54,21.77,42.6
