Earth System,Institutional System,Economical System,Sociological System,Technological System
50.21,41.97,21.43,49.4,41.66
50.76,25.27,31.62,40.71,37.06
47.15,20.6,25.15,33.68,30.13
52.74,31.11,24.58,49.41,41.94
46.21,26.27,23.06,38.68,40.32
40.05,32.09,23.52,41.53,38.8
45.68,25.27,23.03,39.19,37.63
68.56,53.9,29.63,50.71,37.94
42.82,44.3,24.59,43.38,38.56
60.39,21.66,20.89,34.79,30.6
42.01,36.63,27.24,40.17,40.73
40.41,24.42,26.9,33.35,28.76
50.21,47.45,22.37,49.49,43.19
47.16,36.47,28.2,49.78,40.56
56.21,37.25,24.7,44.48,42.72
48.24,22.46,24.52,34.5,30.49
52.57,43.5,24.52,45.6,43.86
48.05,42.91,18.12,49.27,42.78
52.77,32.7,23.95,45.81,37.18
46.83,45.98,23.26,47.36,44.57
48.05,50.82,20.77,51.04,42.88
43.88,32.09,23.95,36.24,36.56
52.06,59.57,25.66,51.55,47.54
50.27,34.94,26.58,44.6,40.04
53.58,35.6,23.59,43.13,40.48
45.75,28.95,27.98,35.13,33.33
57,54.43,20.46,50.22,44.35
56.22,39.01,23.01,44.73,43.02
62.18,59.37,24.85,51.57,41.92
52.28,50.08,21.15,50.43,45.34
63.77,31.77,24.63,44.68,40.52
51.1,45.31,22.85,43.9,41.83
46.31,55.44,25.88,51.31,46.06
44.69,37.92,24.56,41.87,40.83
47.31,44.1,17.9,50.28,45.8
39.8,32.87,24.9,43.48,39.21
50.87,39.27,28.96,47.1,43.28
46.67,26.5,26.6,34.13,34.97
49.54,28.94,25.72,43.04,38.72
45.9,43.33,19.52,50.5,42.66
58.46,56.92,26.95,50.84,43.34
39.99,32.24,23.62,42.12,39.97
57.36,53.15,28.54,50.52,47.05
54.62,39.33,27.94,42.38,41.7
32.06,26.46,23.97,44.15,42.17
34.72,22.03,24.02,40.47,38.59
49.18,55.39,32.12,49.47,47.04
34.88,44.75,25.76,48.73,44.3
47.9,45.19,20.13,49.85,47.91
47.26,30.47,25.95,40.9,41.57
48.77,54.77,24,51.08,46.53
46.44,34.02,31.2,42.66,40
36.03,21.69,25.67,34.29,36.13
47.21,54.42,22.43,49.79,44.15
38.24,38.9,24.49,43.31,38.78
47.16,33.68,22.46,38.33,39.69
38.6,48.4,26.34,50.82,40.9
40.63,30.86,21.98,40.31,39.18
53.24,25.06,26.59,42.56,39.96
40.83,23.43,24.5,45.47,40.99
45.72,32.79,19.43,39.54,34.42
56.45,50.75,19.33,48.43,42.97
48.81,29.81,26.58,35.82,30.51
42.35,22.73,19.49,48.35,40.6
55.95,50.6,20.96,50.33,48.05
40.22,53.86,26.39,51.81,40.8
49.57,28.11,25.66,36.37,32.14
48.01,31.54,25.86,35.04,30.39
54.3,43.35,28.79,49.48,44.62
40.73,26.6,24.73,32.15,36.77
42.18,46.46,21.99,48.45,50.88
34.06,27.39,23.29,36.62,36.47
18.04,38.39,20.98,50.75,39.72
50.1,46.61,23.73,44.31,45.63
47.05,33.47,26.94,45.18,41.89
50.92,39.27,27.05,43.37,40.38
48.08,37.11,16.6,44.54,40.67
53.2,39.49,19.98,46.04,43.33
37.19,24.68,23.03,40.4,40.04
44.93,38.33,23.33,42.62,43
50.94,28.23,24.55,35.37,31.82
42.94,39.23,21.34,43.9,39.51
28.6,39.89,22.33,44.45,40.3
49.27,40.39,16.93,42.1,37.62
38.66,42.28,21.37,42.48,38.62
38.69,30.17,21.16,38.92,38.07
40.87,57.12,24.24,51.55,47.04
55.7,59.92,26.67,50.44,50.2
51.91,27.41,25.16,42.07,39.63
43.33,53,22.38,52.31,43.18
35.4,29.66,24.31,30.5,29.96
41.77,27.32,28.16,39.35,37.67
56.32,57.03,25.63,50.91,38.36
26.16,27.63,26.62,36.21,37.24
55.93,32.65,27.38,39.4,37.18
54.2,29.74,27.87,41.92,39.8
53.04,37.96,25.27,43.76,42.13
51.04,32.23,27.04,42.95,41.81
47.03,49.27,21.38,50.08,45.41
49.33,51.08,20.46,49.89,47.24
52.5,32.06,23.1,36.66,39.37
23.82,44.92,28.25,45.75,47.6
51.31,47.32,24.56,43.05,38.56
47.78,44.39,20.42,45.6,42.51
67.21,35.18,24.08,50.22,41.48
44.85,36.09,27.12,36.34,33.35
55.34,31.49,25.28,43.84,38.56
27.75,38.1,27.26,48.76,38.59
40.97,36.72,22.87,36.32,38.86
45.56,39.58,16.49,48.86,40.34
42.8,45.92,23.34,48.53,35.87
45.12,31.1,27.81,37.28,32.18
41.81,53.23,33.64,52.17,47.04
47.07,49,20.42,48.55,44.42
46.15,29.66,25.71,43.83,42.77
47.96,49.11,20.66,49.68,45.57
40.94,38,17.65,46.74,42.76
48.06,24.19,24.34,39.37,35.83
51.84,41.9,21.51,44.79,41.47
51.24,49.75,23.1,50.58,48.21
32.39,20.58,29.07,34.95,34.26
62.19,59.29,28.11,51.09,41.02
47.25,56.32,35.51,50.57,47.78
63.17,37.63,22.26,48.89,41.54
35.38,23.2,29.85,35.73,37.44
46.52,38.09,25,45.54,46.04
45.75,29.81,25,36.45,34.63
44.84,39.09,22.41,43.66,36.1
28.37,45.08,36.3,50.58,53.11
43.15,36.26,27.25,45.29,41.87
46.69,34.92,26.73,46.79,41.27
31.44,23.51,25.55,44.57,37.9
50.97,35.86,19.25,44.21,39.4
45.42,27.95,25.73,36.02,32.03
50.07,34.78,17.15,47.5,40.53
46.57,36.24,18.2,45.72,39.47
24.81,26.37,30.8,41.89,39.68
50.84,50.76,27.17,50.39,48.3
50.43,29.21,24.41,34.55,34.49
53.89,36.01,22.46,41.6,39.23
54.85,49.14,31.96,50.35,43.9
46.09,30.28,22.65,32.96,33.35
53.8,54.66,22.08,47.1,42.59
32.28,25.65,29.2,41.34,39.19
52.51,29.85,21.84,37.47,36.8
45.1,45.76,24.14,46.92,39.69
