Participation,Rule of law ,Transparency ,Responsiveness ,Consensus oriented ,Equity and inclusiveness ,Effectiveness and Efficiency ,Political suppport 
25.5,0,82.3,16.65,0,23.23,45.3,62.45
20.47,0,63.8,16.65,0,20.92,18.4,19.85
19.69,0,50.9,0,50,9.5,13.1,42.71
32.32,0,77.1,16.65,50,20.83,9.9,56.91
66.51,0,56.2,0,50,17.54,17.1,18.84
14.25,0,55.1,16.65,0,5.09,22.9,50.6
41.84,0,53.5,16.65,50,15.9,25,40.35
88.33,0,87.5,16.65,50,21.69,90.1,87.24
21.58,0,54.7,16.65,0,7.64,54.6,35.28
18.77,0,52.3,0,0,18.22,10.9,38.72
18.32,0,72.6,16.65,50,13.87,41.1,51.33
15.51,0,38.5,0,0,6.57,9.9,39.05
80.17,0,82.4,16.65,50,17.01,77.4,73.19
86.33,100,58.2,16.65,50,16.17,37.7,54.71
73,0,73.8,16.65,50,40.15,48,64.51
16.69,0,33.8,0,50,13.25,10,19.59
26.74,0,79.8,16.65,0,27.02,65.1,44.8
44,0,68.4,16.65,50,30.53,46.1,67.78
46.67,0,62.73,0,50,25.36,35.3,67.66
26.42,100,80.8,16.65,50,21.7,62,65.41
20.5,0,85.1,16.65,0,33.29,62,49.56
12.97,0,48,16.65,50,17.13,34.3,47.73
90.08,0,86.1,16.65,50,28.29,80.4,89.49
29.13,0,63.9,16.65,0,19.13,40,52.26
24.08,0,72.9,16.65,50,34.39,29.9,53.97
55.75,0,53.6,16.65,0,12.39,22.7,45.45
31.92,0,86.1,16.65,50,23.9,81.9,77.97
16.67,0,57.6,16.65,0,6.34,48.3,57.55
64.83,100,88.5,16.65,50,33.93,87.1,87.77
56.05,100,86.3,16.65,50,33.2,78.1,84.36
15.52,0,28.1,0,0,12.48,33,19.56
46.93,0,80.1,16.65,50,22.2,61.9,65.98
88.33,100,87.5,16.65,50,37.66,79.3,90.29
45,0,62,16.65,50,16.94,41.6,52.5
75.5,0,85.4,16.65,50,14.51,49.3,62.62
43.45,0,68.1,16.65,0,16.68,21.4,46.85
77.92,0,64.6,16.65,50,20.89,52.1,61.95
19.13,0,45.9,16.65,0,12.97,18.3,18.25
17.12,0,61.2,16.65,50,19.06,25.6,25.59
26,0,84.8,16.65,50,23.79,56.6,64.59
64.41,0,77.8,16.65,50,29.55,82.3,82.86
48.83,100,70.4,16.65,50,12.72,41.6,50.43
93,100,88.2,16.65,50,37.97,86,84.45
51.42,0,72.2,16.65,50,27.41,41.1,50.98
25.62,0,60.5,33.35,50,11.16,21.9,51.62
14.15,0,34.8,0,0,7.68,16.9,42.36
58.93,0,87,16.65,50,39.1,67.6,78.1
39.16,0,78.1,0,50,15.46,62.3,72.59
77.5,0,89.8,0,50,23.89,50.3,71.97
44.83,0,56.1,16.65,0,25.7,30,47.96
89.58,0,85.8,16.65,50,19.35,71.1,87.04
22.18,0,78.6,16.65,0,20.06,29.4,28.53
37.42,0,49.8,16.65,50,10.2,9.4,38.62
58.17,100,89.1,16.65,50,38.19,75.1,58.9
27.5,0,62,16.65,50,7.34,39.1,60.39
45.25,0,54.5,16.65,50,21.92,28.9,50.18
63.58,0,82.94,50,50,22.59,58.1,70.02
23.55,0,57.83,0,0,10.82,22,25.19
19.42,0,54.1,16.65,50,10.64,22,19.34
24.68,0,51.9,16.65,50,7.95,25.4,52.52
20.08,0,55.2,0,0,5,38,35.66
54.9,0,83.7,0,50,26.56,69,42.64
22.98,0,49.4,0,0,19.62,22.4,19.97
10.67,0,21.4,0,50,1.71,9.6,14.82
31.18,0,84.9,16.65,0,20.63,65.6,44.99
84.17,0,78.2,0,50,21.53,83,55.29
18.73,0,52,16.65,50,11.68,32.1,20.58
12.52,0,56.5,0,0,13.95,22.4,24.34
54.93,0,71.1,33.35,50,19.51,56.7,34.4
18.71,0,51.9,16.65,0,10.82,29.6,46.4
24.46,0,74.6,0,50,5.44,61.3,70.2
13.82,0,48.1,16.65,0,5.42,21.7,21
25.25,0,54.5,33.35,0,7.67,37.3,33.45
30.18,0,75.9,0,50,8.27,53.7,62.84
60.75,0,87.5,16.65,50,17.53,36.1,53.14
21.4,0,76.3,33.35,0,23.62,37.4,28.28
21.03,0,79.3,16.65,50,20.31,29.7,31.28
18.93,0,67,16.65,0,28.74,27.9,64.32
49.18,100,58.1,0,0,16.7,18,41.39
22,0,59,16.65,0,24.31,34.7,52.91
18.72,0,56.2,16.65,0,18.7,24.7,21.7
29.66,0,82.2,33.35,50,16.99,37.1,53.42
57.83,0,58.5,16.65,50,6.96,43.1,37.77
38.25,0,52.2,0,50,33.38,50.4,35.47
25.17,0,61.43,16.65,50,17.18,63.3,65.72
16.9,0,53.6,16.65,0,22.13,25.9,46.77
89.58,100,88,16.65,50,28.14,83.1,85.5
88.83,0,85.3,16.65,50,36.77,87.4,87.48
29.79,0,51.7,16.65,50,34.64,17.9,53.75
54,100,82.4,16.65,50,32.88,75,58.77
15.65,0,57,0,50,17,26.3,49.96
44.25,0,53.6,16.65,50,19.15,18.1,41.67
84.92,0,90.1,16.65,50,30.98,90.6,90.81
16.38,0,60.7,16.65,50,5.52,19,45.4
19.38,0,40.8,16.65,0,4.46,36.1,46.48
34.25,0,61.1,16.65,50,17.22,39.9,52.11
35,0,68.8,16.65,50,33.44,44.3,58.78
44.92,0,75.7,33.35,50,13.48,40.9,50.78
83.58,0,89.1,16.65,50,28.36,55,69.33
65.25,0,85.5,16.65,50,27.11,66.3,73.12
15.95,0,51,0,0,10.88,19.3,25.71
57.92,0,63,16.65,50,11.41,48.1,37.29
80.74,0,52,33.35,50,36.48,52.6,62.53
50,0,77.5,0,50,28.85,42.4,62.74
75,100,78.2,0,50,12.61,21.9,55.7
12.38,0,67.3,0,50,15.02,43.7,34.13
39.25,0,62.7,16.65,0,32.39,29.1,52.52
26.8,0,63.4,16.65,0,16.06,39.1,60.96
19.51,0,63.6,33.35,50,22.12,38.6,52.06
25.82,0,75.8,16.65,50,19.88,44.9,36.11
26.8,0,48.6,0,50,2.51,55.9,38.6
27.07,0,52.8,16.65,0,5.03,22.1,22.43
91.07,0,75.1,16.65,50,14.88,87.1,77.23
22.88,100,79.03,16.65,0,30.14,64.3,42.84
45.67,0,56.33,16.65,50,23.74,33.3,48.54
59.82,0,88.9,16.65,0,37.78,62.1,49.6
56.07,0,73.5,16.65,50,24.96,56.1,62.36
16.31,0,61.7,16.65,0,27.43,10.3,19.96
20.25,0,57.3,0,50,27.89,55.1,66.71
61.08,100,88.9,16.65,50,25.5,65.4,74.29
22.7,0,39.2,16.65,50,3.8,13,12.37
80.42,100,88.5,16.65,50,35,87.1,92.78
91.07,0,87,16.65,50,40.59,90.7,77.48
82.58,100,76.8,16.65,50,36.55,40.7,57.34
12.37,0,55.8,16.65,0,15.43,7.1,18.24
61.5,100,76.1,33.35,50,28.62,37.3,55.77
12.57,0,60.9,16.65,0,19.39,22.1,20.48
58.55,0,42.1,16.65,0,33.59,41.6,56.84
54.05,0,59.7,16.65,0,11.5,52.9,65.88
18.38,0,64.1,16.65,50,11.75,45.4,57.88
53.17,0,84.6,16.65,50,18.53,38,56.48
16.83,0,23.5,16.65,0,3.18,2.9,10.66
33.33,0,75.4,16.65,0,21.05,40.9,30.83
48.18,0,67.6,16.65,50,24.89,28.7,44.88
23.25,0,72.5,0,50,18.99,33.1,54.41
19.01,0,72,16.65,0,20.34,37.4,59.92
76.7,100,74.1,0,50,11.16,30,47.72
87.5,0,83.2,33.35,50,34.31,79.3,86.65
16.68,0,58.1,0,50,34.97,33.7,23.74
42.75,0,58.8,0,50,35.25,45,31.05
96.75,100,79.1,33.35,50,29.82,70.9,76.87
43.47,100,53.6,16.65,0,14.5,30.9,53.15
29.18,0,66.8,0,50,27.69,70.7,50.55
24.07,0,54.9,16.65,0,4.15,21.1,19.82
16.55,0,59,16.65,50,23.17,30,23.85
25.37,0,84.43,16.65,0,6.55,55.4,37.93
