Source of Infection,Route of Transmission,Targeted Population,Capacity Building,Outcomes (Case-Studies)
72.79,69.45,67.74,75.3,56.06
74.68,86.28,47.23,81.85,42.04
42.59,67.35,19.72,70.51,28.92
71.42,70.78,73.9,52.78,23.67
56.98,67.83,22.36,70.52,45.69
66.33,35.14,41.08,73.34,51.42
54.8,63.39,38.41,82.7,29.49
94.73,80.74,59.77,93.07,87.8
52.93,33.79,33.33,79.83,39.93
44.17,49.3,20.96,74.13,35.99
45.99,69.67,31.48,76.51,46.8
43.89,68.96,25.29,57.75,18.86
69.38,76.26,45.23,89.2,69.17
81.81,65.65,56.43,92.55,65.37
80.21,64.88,63.89,84.96,61.44
61.7,41.41,57.5,76.88,25.18
76.93,76.76,68.6,58.8,66.36
81.63,66.32,53.7,86.69,59.18
68.5,46.87,36.35,82.58,74.73
96.26,65.73,58.51,79.24,65.47
75.12,65.12,57.23,85.34,74.94
27.66,57.01,15.29,66.76,35.76
77.51,80.74,52.6,87.88,77.66
69.21,47.34,63.92,73.05,56.48
72.2,69.68,31.14,78.28,56.75
49.12,66.86,57.48,88.58,22.77
59.04,72.42,35.16,85.78,59.25
73.78,47.84,56.2,57.55,56.64
89.41,81.22,64.89,82.7,78.82
84.31,73.04,34.67,94.59,74.26
58.38,41.18,27.5,64.46,46.02
66.34,68.33,35.1,84.85,31.84
89.79,80.77,60.56,84.71,83.16
55.01,55.59,33.93,77.86,31.57
85.06,80.24,60.58,74.5,60.97
65.42,36.32,42,88.94,31.46
76.32,68.43,50.84,64.13,60.01
55.41,67.46,21.94,86.79,30.65
66.68,49.66,41.98,71.7,47.37
83.61,75.04,38.12,78.25,69.69
50.04,65.83,34.23,66.42,72.67
61.92,81.51,54.72,87.07,32.7
90.46,79.27,58.65,71.4,82.45
79.38,83.75,51.84,90.25,49.74
83.5,69.4,65.83,88.2,55.47
71.33,36.32,32.42,92.12,36.8
92.9,72.75,52,66.71,77.39
71.09,73.11,43.85,85.35,70.62
94.89,73.08,55.17,89.94,74.11
65.15,71.89,46.52,68.12,32.55
85.14,65.58,51.64,97.46,81.55
81.11,40.5,56.77,88.82,38.08
48.03,57.3,25.1,67.12,32.01
96.3,67.54,55.88,90.69,69.73
66.86,53.38,52.86,74.61,60.97
58.14,74.2,57.09,71.19,26.84
86.37,69.34,62.36,61.6,36.14
75.36,64.82,48.1,81.12,31.49
47.73,70.49,46.43,82.01,41.87
61.37,63.61,51.67,80.19,53.59
44.61,52.52,30.72,79.64,34.81
73.58,81.8,49.09,90.95,54.52
33.45,38.82,45.48,83.63,41.9
80.44,54.87,51.93,63.81,45.38
80.63,81.55,58.55,80.61,55.58
69.79,65.59,56.12,87.35,72.75
60.71,56.96,27.16,81.28,39.75
51.59,47.95,42.43,74.73,36.8
60.51,78.3,51.79,77.9,63.96
69.07,60.31,70.39,86.78,25.4
65.9,57.59,41.34,57.08,65.08
44.19,52.07,15.9,68.29,35.21
68.59,67.95,27.25,83.66,66.66
80.14,61.47,62.24,66.34,69.13
92.14,69.1,61.45,90.24,69.81
64.9,71.61,53.57,89.28,43.24
71.58,68.27,63.52,83.21,44.93
67.71,55.04,54.07,78.34,56.23
60.68,75.63,31.76,84.06,39.48
67.32,87.4,36.29,79.05,39.09
55.04,70.31,17.65,90.03,35.51
77.14,59.23,68.83,89.65,35.83
74.29,75.45,51.85,91.42,65.07
53.41,52.73,34.36,80.42,40.14
71.48,52.48,42.28,77.34,70.46
48.7,68.02,34.02,70,25.48
87.95,81.02,47.04,94.08,74.02
83.52,65.62,59.87,85.5,81.44
76.43,80.82,56.51,87.39,64.96
82.11,80.36,55.95,94.38,75.45
49.81,69.45,27.58,67.23,21.32
62.72,65.86,53.84,76.46,35.26
95.67,73.05,59.09,84.35,69.91
58.09,67.38,37.55,77.41,29.22
42.35,48.56,22.6,76.38,47.26
78.18,51.47,67.1,73.33,50.74
77.26,46.53,64.46,78.96,48.89
73.4,81.08,48.72,83.49,47.61
79.16,60.57,63.62,80.06,71.09
78.49,72.21,58.15,77.16,61.38
51.87,56.1,60.86,77.15,42.56
79.54,65.26,48.9,93.08,60.01
64.67,76.58,58.5,44.57,42.91
79.06,57.96,60.57,80.36,49.81
70.67,65.62,39.27,74.67,55.12
68.8,72.3,59.25,82.17,41.18
72.53,63.13,58.76,87.07,69.25
74.33,53.83,46.75,84.35,49.01
62.95,69.79,24.82,62.84,30.25
84.24,61.78,58.49,83.15,57.96
73.29,41.77,25.13,83.38,58.01
42.09,56.6,21.1,90.23,37.85
80.86,72.94,50.43,61.22,79.42
80.63,73.31,59.88,85.61,69.61
82.61,69.23,45.45,61.25,52.22
87.95,64.68,65.96,78,61.96
89.03,77.66,67.3,67.75,46.45
51.17,74.09,15.29,74.89,37.68
