Food Demand and Supply,Food Safety,Nutrition,Natural and social circumstances,Government support and response
62.49,83.64,72.07,65.87,30.96
51.36,46.1,55.7,50.43,25.53
27.96,34.74,30.03,27.06,28.51
60.43,88.13,75.84,57.69,37.9
51.59,59.25,54.47,61.98,34.63
46.32,67.3,76.11,56.87,26.67
35.01,34.04,54.9,49.62,36.79
64.24,90.07,91.5,77.8,49.95
52.56,61.63,52.65,58.99,25.08
28.65,32.57,22.36,47.99,11.16
56.61,47.81,60.64,54.07,34.65
31.66,30.28,37.03,32.74,18.62
71.85,81.69,81.92,61.78,38.75
72.5,88.8,88.01,59.24,54.27
53.16,69.37,69.16,59.67,31.39
35.72,32.23,31.22,55.06,10.97
55.69,71.68,75.43,67.82,46.31
60.14,81.34,76.79,64.89,34.62
53.71,75.33,80.59,60.6,28.87
55.21,85.45,80.9,78.29,28.11
68.78,82.01,65.07,64.22,35.27
40.04,47.86,52.48,53.37,35.18
68.25,86.4,91.26,75.04,38.7
57.56,63.25,64.93,67.33,21.78
57.5,76.52,57.9,63.57,37.05
40.07,37.2,45.92,34.49,36.71
68.55,80.7,85.37,71.16,32.98
57.86,54.85,67.22,65.18,46.99
68.88,89.26,92.2,69.28,33.83
67.28,78.18,92.57,74.23,47.06
53.74,47.28,48.22,63.12,25.02
48.84,72.14,67.1,52.05,15.78
70.68,82.22,91.64,66.05,46.47
46.32,40.02,58.15,56.52,29.06
56.79,85.67,88.26,74.13,32.52
57.81,77.56,68.01,57.01,23.44
61.82,85.54,83.3,62.77,43.79
32.24,46.45,46.38,50.49,20.2
47.93,74.14,61.47,59.2,17.27
64.59,75.6,80.65,62.5,25.94
68.97,65.56,97.43,66.89,35.61
63.62,64.95,48.33,59.69,43.46
71.64,86.19,90.34,80.48,49.02
65.39,59.99,61.4,59.85,40.27
55.77,55.72,72.89,59.36,34.3
34.06,45.35,41.81,62.98,24.37
66.22,87.98,95.15,71.91,39.18
61.93,59.74,92.17,69.88,38.79
73.35,88.01,87.93,77.47,47.45
43.54,29.17,47.12,60.49,26.62
84.74,89.43,72.99,69.76,48.55
60.15,83.55,72.6,61.96,25.74
35.84,34.38,44.36,34.89,15.39
70.72,88.22,94.16,68.54,42.27
48.82,61.95,54.58,64,19.28
39.93,37.46,50.68,41.45,40.52
74.72,67.65,88.64,69.59,39.37
55.39,65.8,60.24,53.46,13.42
54.24,42.05,53.92,57.57,30.8
47.98,57.37,61.12,57.45,35.82
41.94,47.5,42.9,40.85,26.11
63,83.31,84.37,66.81,20.44
37.76,35.49,29.95,40.87,10.66
55.47,53.13,46.93,55.91,24.93
63.34,80.67,83.83,67.68,27.04
64.91,87.42,82.76,75.24,36.1
40.12,42.64,26.45,43.27,27.96
32.53,28.49,43.78,32.13,26.69
59.81,58.71,65.14,68.43,41.43
33.63,58.94,54.79,56.46,29.96
52.99,78.11,92.17,70.86,30.11
41.22,35.11,55.63,57.17,23.58
55.94,60.22,71.34,59.28,22.28
70.1,55.41,66.36,63.7,47.03
52.7,72.07,78.8,60.32,38.32
56.07,64.3,70.71,55.27,28.46
56.75,62.25,53.72,58.46,17.96
58.25,61.51,87.4,56.5,25.11
58.5,43.14,52.11,60.37,39.81
53.41,58.3,73.95,60.35,40.52
30.53,63.51,27.03,41.39,23.35
51.54,63.1,71.48,55.73,19.62
54.55,61.16,68.66,64.8,26.49
46.07,45.13,57.12,56.51,34.96
70.32,57.35,73.68,65.2,20.08
44.23,39.82,65.37,55.58,21.91
75.04,83.4,87,72.45,42.65
64.54,62.21,84.7,73.84,46.06
50.4,76.38,51.9,61.04,29.83
67.43,87.5,92.23,69,36.83
26.8,34.32,43.73,57.03,14.77
41.86,40.29,47.45,35.27,31.12
74.5,86.27,89.47,75.67,37.08
46.71,43.47,41.21,56.68,33.56
64,50.3,41.94,55.88,26.92
55.05,73.03,65.4,64.42,19.21
56.18,79.54,68.22,63.3,34.88
52.77,77.72,64.23,58.44,28.63
67.51,68.74,90.79,59.84,35.85
66.95,78.51,91.96,65.74,29.97
51.73,47.82,34.07,55.85,19.9
65.56,63.49,91.36,66.93,32.92
59.44,43.78,53.07,58.32,32.12
68.62,63.53,90.13,59.6,36.17
72.23,86.16,78.6,66.39,38.1
28.93,50.92,39.59,48.73,16.44
59.54,44.58,60.37,63.02,26.03
63.18,58.23,81.51,67.24,28.08
36.02,54.77,47.63,60.47,34.03
62.28,72.9,65.84,59.23,31.16
68.76,54.75,77.58,59.42,28.14
36.41,32.22,42.77,45.68,13.03
67.23,64.49,88.5,71.06,31.22
65.8,62.16,61.27,68.79,23.39
67.62,77.76,74.33,58.48,44.99
63.6,82.72,83.04,70.19,37.29
62.91,78.62,66.99,60.04,22.61
45.19,49.12,38.06,23.67,30.9
38.42,62.44,41.7,50.28,39.24
66.24,87.34,89.16,75.72,45.05
35.64,50.25,46.95,47.37,25.62
66.74,80.57,86.76,73.42,36.89
72.21,88.59,85.27,75.49,49.1
60.82,77.53,86,64.81,40.04
46.07,70.57,44.18,53.51,7.51
63.66,54.99,62.68,61.69,40.91
38.02,36.73,38.48,53.23,25.18
61.69,63.81,67.32,57.13,20.71
63.2,84.39,75.38,68.12,24.75
50.65,78.99,79.08,60.64,33.24
52.16,72.11,90.29,69.28,25.34
62.79,53.11,65.77,63.34,24.4
58.88,80.2,86.66,58.75,15.8
35.92,40.73,35.12,36.63,35.58
60.71,81.15,69.35,50.48,13.48
56.72,50.9,76.08,59.41,33.98
50.45,66.76,70.51,63.5,22.38
69.26,90.84,85.23,64.77,44.98
30.72,48.18,39.44,56.47,27.81
59.14,65.61,66.61,61.46,28.15
64.7,86.85,96.53,70.18,48.52
35.32,52.6,47.99,55.84,34.49
57.07,79.14,81.63,66.53,28.26
61.93,55.56,72.61,59.23,30.36
45.81,49.12,40.85,50.09,36
68.16,64.48,77.84,69.88,29.73
