AMR surveillance system,AMR laboratory network and coordination capacity,Antimicrobial control and optimization,Improve awareness and understanding ,Antimicrobial resistance rate for important antibiotics
19.32,22.83,29.13,5.21,14.27
39.87,52.89,38.82,65.62,14.72
15.37,26.65,17.37,25,30.95
46.3,55.07,54.33,81.25,18.39
27.29,32.17,22.74,43.75,20.78
33.38,41.27,30.69,46.88,13.26
14.22,20.28,15.49,37.5,17.29
51.25,48.28,62.55,56.25,37.33
17.69,22.02,31.06,25,15.02
14.67,16.58,18.5,21.88,33.18
30.51,52.74,27.66,43.75,10.67
6.54,26.65,27.9,34.38,23.08
30.71,44.82,66.69,56.25,21.81
56.05,62.68,66.33,71.88,19.13
45.47,43.96,52.59,62.5,21.29
17.19,26.65,23.77,43.75,25.91
34.46,34.91,48.22,53.12,17.57
58.58,65.37,57.82,43.75,18.5
45.53,25.88,61.19,71.88,16.52
58.97,45.96,43.58,53.12,15.42
53.69,48.71,57.92,56.25,33.72
22.71,14.3,28.83,37.5,13.28
68.52,73.39,72.26,96.88,44.24
26.01,23.99,29.62,21.88,14.96
38.46,32.48,52.45,43.75,18.59
46.1,52.68,38.65,65.62,15.96
46.08,55.46,43.37,65.62,35.64
12.13,30.98,16.21,56.25,16.2
54.21,69.62,80.68,65.62,44.68
79.06,75.44,73.77,93.75,40.85
14.97,18.39,6.1,18.75,17.56
14.18,30.31,29.99,53.12,14.35
62.3,58.31,73.47,78.12,43.85
42.96,40.49,41,53.12,14.3
55.81,58.31,72.09,75,12.22
41.52,38.48,27.63,65.62,13.51
33.49,40.57,46.64,43.75,20.74
9.82,24.45,27.6,34.38,19.03
10.69,11.64,30.68,21.88,16.64
63.95,43.61,46.63,53.12,25.77
88.51,63.33,55.9,50,44.07
37.96,54.78,37.9,46.88,3.63
71.31,51.19,63.3,71.88,43.6
41.48,63.35,62.95,59.38,16.64
45.23,59.3,50.55,56.25,10.13
34.33,58.99,37.98,43.75,14.24
77.73,48.86,63.52,46.88,42.55
41.93,26.3,53.8,53.12,41.64
57.36,71.66,53.69,68.75,16.6
37.35,46.55,34.09,37.5,12.55
79.83,57.01,66.38,87.5,40.8
40.23,38.1,47.83,46.88,22.1
21.35,39.09,10.34,34.38,29.13
