Government Response,Climate Change Risks,Health Outcome
51.16,37.06,47.98
23.82,37.87,40.91
26.99,61.27,51.41
48.82,41.34,52.5
43.91,44.95,44.4
29.45,35.37,47.74
37.73,36.28,47.3
65.56,32.45,57.76
26.18,47.58,64.86
20.98,43.06,41.92
42.91,51.49,45.61
30.01,48.13,49.34
50.74,38.95,58.35
67.87,28.17,45.16
39.54,35.55,31.29
36.47,54.23,43.02
57.13,47.18,54.26
53.23,40.54,50.23
34.61,43.36,40.03
62.28,45.62,52.55
52.1,35.03,57.64
42.84,48,45.23
75.08,42.52,61.93
30.74,48.29,46.64
46.26,46.12,39.66
29.1,52.98,51.93
57.35,46.57,60.74
29.89,50.38,60.49
62.17,46.27,61.37
67.64,42.62,58.61
40.91,41.03,49.1
34.95,41.86,43.64
70.85,37.78,55.74
51.83,38.5,44.91
56.48,38.99,52.31
55.25,35.19,48.95
34.44,34.3,47.99
29.36,42.84,47.24
27.88,44.88,33.85
59.44,37.2,49.25
44.28,43.92,55.3
56.76,32.5,42.79
77.89,24.33,52.21
21.16,35.98,42.87
25.92,39.08,48.38
31.04,29.12,41.91
62.14,43.64,69.95
44.11,37.37,50.9
65.81,38.57,53.41
32.35,42.66,48.97
61.4,41.23,41.59
59.71,25.44,54.99
32.21,40.2,46.86
59.45,42.06,59.68
31.45,43.36,44.75
42.4,54.71,50.15
63.93,36.7,50.48
25.24,34.87,60.61
25.99,44.85,43.22
28.21,45.41,44.95
36.16,54.52,63.74
42.54,46.79,60.89
33.5,49.7,48.6
19.4,35.07,48.14
55.35,45.73,61.34
57.18,44.93,60.72
43.67,55.83,44.93
28.86,54.06,49.07
47.28,32.36,42.7
27.99,49.37,47.22
47.31,47.02,47.38
29.03,53.69,48.33
40.4,25.99,34.37
26.61,51.57,54.71
40.81,32.81,47.12
23.85,30.64,56.67
46.01,45.4,55.96
39.3,34.85,55.98
32.97,40.01,50.54
38.58,48.15,46.66
23.54,38.31,46.92
33.17,45.32,52.43
16.55,32.05,46.14
27,48.31,57.6
36.39,43.87,54.23
28.13,43.78,47.63
66.95,39.59,56.94
53.99,32.71,62.32
24.12,46.3,34.66
52.26,43.78,54.42
30.16,53.81,47.93
48.82,37.1,50.8
49.09,38.11,62.51
29.97,35.95,43.37
22.92,48.28,48.43
23.69,40,46.48
40.39,41.09,45.31
40.56,43.83,43.52
44.76,32.77,55.52
56.46,45.45,56.82
21.56,44.11,48.9
24.65,22.29,44.3
49.98,45.45,50.11
46.86,36.74,51.87
48.66,27.46,66.35
34.28,60.31,55.7
28.19,38.85,42.07
32.77,27.94,46.99
26,44.57,52.42
40.67,32.33,43.77
25.24,49.59,39.69
36.87,49.45,51.73
44.52,39.11,53.5
46.01,35.33,60.19
29.87,35.87,41.84
49.18,39.2,56.48
61.66,30,56.91
30.94,42.63,49.97
23.65,40.12,50.84
60.04,42.62,53.34
23.91,49.39,46.44
63.56,48.55,60.52
57.95,45.98,62.02
56.08,37.62,38.24
34.17,41.11,51.87
47.61,27.69,50.23
27.51,46.66,46.47
18.61,31.44,54.59
40.54,29.16,43.41
28.88,41.61,46.56
38.55,37.15,47.94
21.49,38.51,53.51
36.52,41.5,51.56
36.91,54.37,52.31
48.98,30.41,50.36
28.53,44,51.62
34.71,32.72,48.56
69.16,40.25,59.95
28.94,43.55,41.44
36.88,41.87,53.39
67.52,30.91,47.74
33.38,53.69,49.8
34.71,42.78,49.87
24.72,30.2,46.71
33.74,39.7,49.6
21.82,36.76,36.43
